dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz,paired_t_p_value,paired_t_holm_p_value,paired_t_holm_reject_0_05
ember,ablation,25,mean_acc_seen,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7950161615475182,0.7085969019845854,0.0864192595629328,12.19582802590531,0.0753408986075126,0.09749762051835299,9.685880770857235,2.6884847556636808e-05,0.003736993810372516,True
ember,ablation,25,final_taskwise_average_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7427515336287188,0.5937646114215213,0.1489869222071975,25.09191678677357,0.12538375150201161,0.1725900929123834,7.837578256688085,6.224655490843246e-05,0.0073450934791950305,True
ember,ablation,25,forgetting,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.182218153266521,0.2937822241939362,-0.11156407092741523,37.97509234383349,-0.13617817338585478,-0.0869499684689757,-5.627874938666555,0.00022949262306276518,0.021322340231973137,True
ember,ablation,25,macro_f1,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.6739005211289539,0.4746924520552017,0.19920806907375216,41.96571237045632,0.17938051710631747,0.21903562104118685,12.475039174115917,9.824984615494587e-06,0.0014933976615551772,True
ember,ablation,25,balanced_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7350179007049255,0.5865184265959572,0.14849947410896824,25.318807964965618,0.12162834207063147,0.175370606147305,6.861878780925033,0.0001052543436442635,0.011683232144513249,True
ember,ablation,25,old_class_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.722469548433991,0.5421988656184155,0.1802706828155755,33.24807450675212,0.15049003623114487,0.21005132940000615,7.51614361861208,7.345978690916042e-05,0.008521335281462608,True
ember,ablation,25,new_class_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.8734504933973815,0.8167844990538272,0.05666599434355424,6.937692183090741,0.04182965752843815,0.07150233115867033,4.742418966056539,0.00044760368659996257,0.03357027649499719,True
ember,ablation,25,mean_acc_seen,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.718681720079553,0.7950161615475182,-0.07633444146796516,-9.601621345580995,-0.09267462232317367,-0.05999426061275665,-5.800531134485745,0.0002038557709213931,0.019366298237532345,True
ember,ablation,25,final_taskwise_average_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.6345988928008197,0.7427515336287188,-0.10815264082789913,-14.561079436553767,-0.12841229356548772,-0.08789298809031054,-6.628407809651764,0.0001206447221654574,0.012788340549538485,True
ember,ablation,25,forgetting,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.28168899130508473,0.182218153266521,0.09947083803856374,-54.5888739707909,0.07579089232437815,0.12315078375274933,5.215778784055793,0.0003089892223493518,0.026882062344393606,True
ember,ablation,25,macro_f1,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.49038962956426735,0.6739005211289539,-0.18351089156468653,-27.23115442280107,-0.21070795494018563,-0.15631382818918743,-8.37806877118271,4.780030128385206e-05,0.006166238865616915,True
ember,ablation,25,balanced_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.5982076575265214,0.7350179007049255,-0.13681024317840404,-18.613185209121436,-0.15694520541922238,-0.1166752809375857,-8.436685974794376,4.649773433683551e-05,0.006091203198125453,True
ember,ablation,25,old_class_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.5576132605649706,0.722469548433991,-0.16485628786902035,-22.818441029986555,-0.22398062277466477,-0.10573195296337592,-3.4621297279901717,0.0014997148175165446,0.08698345941595959,False
ember,ablation,25,new_class_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.866575685869663,0.8734504933973815,-0.006874807527718496,-0.7870861118846116,-0.02429870198886068,0.010549086933423686,-0.48991349326554123,0.3348387552929567,1.0,False
ember,ablation,25,mmd_real_generated,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.00428323745727534,0.0024696588516235,0.0018135786056518402,-73.43437756431956,-0.000647400283193552,0.004274557494497232,0.915024209576607,0.11018269639982281,1.0,False
