dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz
az_class,ablation,100,macro_f1,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.18183120670074446,0.0063446267537367994,0.17548657994700764,2765.908646141417,0.10862658221526406,0.24234657767875123,3.2589795973722313
az_class,ablation,100,balanced_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.22447476976841924,0.051133244194753305,0.17334152557366594,338.9996631417574,0.09650950826693473,0.25017354288039717,2.8013312580259653
az_class,ablation,100,old_class_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.12036242410029092,0.0002742569120154,0.1200881671882755,43786.74225776026,0.05617779707812952,0.18399853729842147,2.333097955010664
az_class,ablation,100,new_class_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.9516839674814603,0.978260834176558,-0.026576866695097533,-2.716746471555151,-0.08062334954120105,0.027469616151005988,-0.6105769852652375
az_class,ablation,100,mean_acc_seen,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.733612271481358,0.3213283259658336,0.4122839455155244,128.30613182834122,0.36268718888311835,0.4618807021479304,10.321605019017449
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7129473423550008,0.28016532717304365,0.4327820151819572,154.47379572228436,0.3271966606551805,0.5383673697087339,5.089435459396338
az_class,ablation,100,forgetting,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.12891016499330907,0.7313132700246685,-0.6024031050313594,82.37278464959883,-0.7263181695937507,-0.4784880404689681,-6.03624951143039
az_class,ablation,100,macro_f1,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.6404831115244924,0.18183120670074446,0.4586519048237479,252.24047793874655,0.388569703397182,0.5287341062503138,8.12605121321647
az_class,ablation,100,balanced_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7959336956981928,0.22447476976841924,0.5714589259297735,254.57601605709303,0.49629326880325325,0.6466245830562939,9.439949065899153
az_class,ablation,100,old_class_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.6743425697823894,0.12036242410029092,0.5539801456820985,460.2600436333015,0.4847699866052312,0.6231903047589659,9.938673914174634
az_class,ablation,100,new_class_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7388623782823497,0.9516839674814603,-0.21282158919911062,-22.362632604006393,-0.4132475965487233,-0.01239558184949796,-1.3184561666595382
az_class,ablation,100,mmd_real_generated,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.002566123008728,0.11341314315795892,-0.11084702014923091,97.73736717167431,-0.141796261639526,-0.07989777865893583,-4.447112355584743
az_class,ablation,100,wasserstein_real_generated,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.05320556163787839,0.32643889188766473,-0.27323333024978635,83.701218525093,-0.33350135225085087,-0.21296530824872184,-5.629253757066837
az_class,ablation,100,mean_acc_seen,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.733612271481358,0.6826763201899329,0.05093595129142521,7.461215481628811,0.04094838481532284,0.06092351776752758,6.3324071067915
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7129473423550008,0.6182264901486836,0.09472085220631718,15.321383621645982,0.06930428104996227,0.1201374233626721,4.627353994378475
az_class,ablation,100,forgetting,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.12891016499330907,0.183044364624588,-0.05413419963127895,29.574360151597475,-0.09275760416507067,-0.015510795097487227,-1.7403045527725727
az_class,ablation,100,macro_f1,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.6404831115244924,0.5522603396107886,0.08822277191370376,15.974852001119583,0.06415408482472415,0.11229145900268336,4.551267765541931
az_class,ablation,100,balanced_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7959336956981928,0.7516389140112023,0.044294781686990484,5.893093194258216,0.03444897153791242,0.05414059183606855,5.586054869662651
az_class,ablation,100,old_class_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.6743425697823894,0.5738355747241142,0.10050699505827514,17.514946699949103,0.07531518498906092,0.12569880512748935,4.953828922519997
az_class,ablation,100,new_class_accuracy,component_effect,Hybrid vs real-only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7388623782823497,0.6971303476275922,0.04173203065475749,5.986259355481509,-0.005273013516630336,0.08873707482614532,1.1023744568139255
az_class,ablation,100,mean_acc_seen,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.6710760554931986,0.733612271481358,-0.06253621598815944,-8.524423379925498,-0.07230698413429824,-0.05276544784202063,-7.947068932044746
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.6342210366150113,0.7129473423550008,-0.07872630573998955,-11.042373126736337,-0.11302110291425577,-0.044431508565723345,-2.8503337999700213
az_class,ablation,100,forgetting,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.20996095951517443,0.12891016499330907,0.08105079452186534,-62.873858338535385,0.044359071692205404,0.11774251735152527,2.7427944457887365
az_class,ablation,100,macro_f1,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.554252600589556,0.6404831115244924,-0.08623051093493639,-13.463354362254542,-0.09713095824096471,-0.07533006362890807,-9.822470396734413
az_class,ablation,100,balanced_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.745711519924931,0.7959336956981928,-0.0502221757732618,-6.309844154695191,-0.05792502347488932,-0.042519328071634284,-8.0955862019633
az_class,ablation,100,old_class_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.5679209091157483,0.6743425697823894,-0.10642166066664105,-15.781542710700194,-0.12090226990654095,-0.09194105142674115,-9.125302843938853
az_class,ablation,100,new_class_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.7519264080655375,0.7388623782823497,0.013064029783187802,1.7681276198631226,-0.033150585657049876,0.059278645223425484,0.3509957899405729
az_class,ablation,100,mmd_real_generated,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.00336108207702634,0.002566123008728,0.0007949590682983399,-30.9789930410387,-0.000653380789093613,0.002243298925690293,0.6815196378901642
az_class,ablation,100,wasserstein_real_generated,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.05560546666383738,0.05320556163787839,0.0023999050259589996,-4.51062812247515,-0.008985880243470318,0.013785690295388318,0.2617189415860921
az_class,ablation,100,mean_acc_seen,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.6884136193880664,0.733612271481358,-0.04519865209329166,-6.161109055880903,-0.05725257094370965,-0.03314473324287367,-4.655874970456711
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.6454140104414033,0.7129473423550008,-0.06753333191359749,-9.47241512823682,-0.09068801375917392,-0.04437865006802107,-3.621457961508511
az_class,ablation,100,forgetting,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.19705917409512813,0.12891016499330907,0.06814900910181906,-52.865504520420295,0.03777326028093348,0.09852475792270465,2.7857147362506534
az_class,ablation,100,macro_f1,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.5652268075579115,0.6404831115244924,-0.07525630396658083,-11.74992792354105,-0.09358725210107688,-0.05692535583208477,-5.097556470488122
az_class,ablation,100,balanced_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.7610352099121424,0.7959336956981928,-0.03489848578605046,-4.38459710584781,-0.0447036464726485,-0.02509332509945242,-4.419325167367453
