dataset,method,seed,source_class_order,support_source,task_supports,full_test_support,all_100_classes_once,schedule_valid,matches_v15_4_supports
AZ-Class,protocol-matched adapted MalCL baseline,48,historical_outputs/adapted_malcl/az_class/seed_48/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18212, 952, 659, 1289, 639, 423, 278, 2030, 2152, 746, 1179]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),48,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[18212, 952, 659, 1289, 639, 423, 278, 2030, 2152, 746, 1179]",28559,true,true,true
AZ-Class,ER (standard),49,historical_outputs/er/az_class/seed_49/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12796, 2281, 635, 880, 2124, 1287, 1871, 2616, 1808, 1359, 902]",28559,true,true,true
AZ-Class,DER++ (standard),49,historical_outputs/derpp/az_class/seed_49/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12796, 2281, 635, 880, 2124, 1287, 1871, 2616, 1808, 1359, 902]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,49,historical_outputs/adapted_malcl/az_class/seed_49/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12796, 2281, 635, 880, 2124, 1287, 1871, 2616, 1808, 1359, 902]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),49,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[12796, 2281, 635, 880, 2124, 1287, 1871, 2616, 1808, 1359, 902]",28559,true,true,true
AZ-Class,ER (standard),50,historical_outputs/er/az_class/seed_50/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12859, 1267, 1389, 1642, 539, 1332, 324, 3157, 700, 2361, 2989]",28559,true,true,true
AZ-Class,DER++ (standard),50,historical_outputs/derpp/az_class/seed_50/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12859, 1267, 1389, 1642, 539, 1332, 324, 3157, 700, 2361, 2989]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,50,historical_outputs/adapted_malcl/az_class/seed_50/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12859, 1267, 1389, 1642, 539, 1332, 324, 3157, 700, 2361, 2989]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),50,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[12859, 1267, 1389, 1642, 539, 1332, 324, 3157, 700, 2361, 2989]",28559,true,true,true
AZ-Class,ER (standard),51,historical_outputs/er/az_class/seed_51/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[13760, 1234, 1410, 466, 2388, 1854, 1525, 1552, 1906, 1169, 1295]",28559,true,true,true
AZ-Class,DER++ (standard),51,historical_outputs/derpp/az_class/seed_51/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[13760, 1234, 1410, 466, 2388, 1854, 1525, 1552, 1906, 1169, 1295]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,51,historical_outputs/adapted_malcl/az_class/seed_51/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[13760, 1234, 1410, 466, 2388, 1854, 1525, 1552, 1906, 1169, 1295]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),51,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[13760, 1234, 1410, 466, 2388, 1854, 1525, 1552, 1906, 1169, 1295]",28559,true,true,true
