dataset,method,seed,stage,sw_seen_accuracy,tm_seen_accuracy,cumulative_test_support,observed_tasks,definition_version
EMBER,protocol-matched adapted MalCL baseline,46,6,54.32721548424028,50.64494985852712,27951,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,7,50.24729739277891,44.635081529859335,28306,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,8,47.89061426411983,38.62600712172938,29108,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,9,49.99057907298078,36.71183726339194,31844,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,10,44.88757540673938,38.59131998055877,32822,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,11,47.896392119629716,37.010305141122366,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,1,73.05802968960865,73.05802968960865,18525,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,2,70.82286593181234,45.59602302459445,19505,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,3,63.860582559292986,42.736675970872575,22178,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,4,59.78371934604905,31.98991691571105,23488,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,5,56.679673357737634,31.97841586689922,24859,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,6,53.995827938426125,33.464839967759026,27804,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,7,54.523709019276765,32.14462224731143,28428,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,8,41.61823716618237,28.845261875940476,28908,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,9,39.824967649662874,26.957844766336724,29366,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,10,51.29854975829304,32.47817763993018,29995,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,11,40.17920721576074,26.57028939116014,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,1,73.70756600843133,73.70756600843133,18028,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,2,70.22232623449567,68.97300533203136,21365,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,3,66.45463380157258,64.88076523143627,22638,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,4,65.30043099805629,57.7389393302733,23666,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,5,63.02715193529751,54.72127595655133,24234,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,6,52.51724817662134,44.42823233533299,25365,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,7,55.438822726238335,49.92020450505739,26366,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,8,52.66172875542745,47.22280825304678,27407,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,9,49.7730452885567,42.08196742080408,29301,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,10,50.7571189279732,40.67702126177967,29850,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,11,42.20270591027771,26.43494920292227,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,1,72.83561163687347,72.83561163687347,17118,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,2,67.06664117028397,68.2486825194778,20918,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,3,66.67834157873999,69.00428521749747,22841,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,4,63.656624019810145,60.48005891643704,24230,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,5,60.24202596569963,59.18426530050066,24956,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,6,56.366717006151234,51.63545278645692,27149,6,V15.5
