dataset,method,seed,stage_id,sample_weighted_seen_accuracy,cumulative_seen_support,matrix_source,definition_version
EMBER,protocol-matched adapted MalCL baseline,48,8,52.66172875542745,27407,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,9,49.7730452885567,29301,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,10,50.7571189279732,29850,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,11,42.20270591027771,33704,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,1,72.83561163687347,17118,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,2,67.06664117028397,20918,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,3,66.67834157873999,22841,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,4,63.656624019810145,24230,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,5,60.24202596569963,24956,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,6,56.366717006151234,27149,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,7,57.49791068638495,27521,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,8,55.8415003877882,28366,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,9,54.03148301574151,30175,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,10,42.037921997841835,32435,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,11,53.51293615001187,33704,adapted_malcl__ember__seed_49.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,1,68.9293212036389,14290,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,2,65.04299792856695,15931,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,3,60.556417773179284,17397,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,4,67.23158580873452,21478,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,5,62.13493571333893,22633,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,6,61.22166464786295,23116,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,7,58.73042319226924,24008,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,8,58.621081326669696,26412,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,9,54.615836587979125,28933,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,10,51.304856281159594,32494,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,11,51.756468075005934,33704,adapted_malcl__ember__seed_50.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,1,76.86966106365391,18145,adapted_malcl__ember__seed_51.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,2,71.22423425158928,20764,adapted_malcl__ember__seed_51.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,3,66.72887893492597,24111,adapted_malcl__ember__seed_51.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,4,66.8051434223541,25275,adapted_malcl__ember__seed_51.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,5,67.18600720217535,27214,adapted_malcl__ember__seed_51.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,6,66.53036114930883,27634,adapted_malcl__ember__seed_51.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,7,62.83589419771276,28506,adapted_malcl__ember__seed_51.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,8,61.9396039921697,31161,adapted_malcl__ember__seed_51.json,V15.4
